U.S. imports of tree and ground nuts,,,,,,,,,,,,,,,,,,,,,
,Source,Unit,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,,,
,,,,,,,,,,,Million $,,,,,,,,,,
Tree nuts 1/,,,,,,,,,,,,,,,,,,,,,(Removed mt in line 16)
VIETNAM,23.3,50.6,47.7,70.5,99.7,173.8,167.6,167.7,221.1,277,258.3,351.9,410.2,399.6,526.9,633.6,,,
MEXICO,71,79.8,36.2,60.8,91.4,143.5,137.5,166.3,153.9,176.6,219.4,217,302.8,300.6,272.4,406,,,
INDIA,296.8,248.6,222.2,220,193.3,257.2,267.2,219.7,204.5,242.3,174.5,190.9,317.8,284.4,284.3,229.8,,,
PHILIPPINES,44.2,40.7,28.8,34.6,36.3,33.6,38.2,36.7,49.2,53.6,54,49.9,110.7,96.5,72.4,113.3,,,  ???
CHINA,29.5,18.2,23.9,34.8,39.2,60.2,68.6,81.5,86.8,102.8,101.9,102.2,82.1,109,108.6,103.3,,,
THAILAND,8.4,7.8,9.2,7,9.9,16.8,20.6,19.6,19.7,25.7,37.8,43.1,59.4,67.1,80.1,100.4,,,
AUSTRALIA,19.4,22.9,13.5,9.2,14.1,33.1,26.7,16.9,14.1,15.9,16.1,16.2,13.5,19.9,36.1,74.5,,,
TURKEY,26.3,19.7,22.6,19.5,23.9,29.2,30.8,36,32.2,39.3,23.7,38.8,39.8,37.4,51.5,53.8,,,
BRAZIL,114.9,150.8,94.5,85,116.8,153.8,157.8,146.1,167,132.5,155.9,147.6,149.2,110.8,72.7,50.9,,,
REST OF WORLD,87.1,90.2,82.2,77.1,101.8,141.1,166.3,163.5,170.9,195.2,172.5,239.1,278.6,322.8,362.6,474.2,,,   ???
WORLD,721.1,729.2,580.6,618.3,726.4,1042.20,1081.20,1054.10,1119.40,1260.80,1214.10,1396.90,1764.20,1748.10,1867.60,2239.60,,,
Quantity,1000,201,230.9,224.5,244.2,260.8,304.1,293.9,291.5,307.3,290.3,319.7,322.1,308.1,341.3,379.9,429.9,,,
Cashew nuts,,,,,,,,,,,,,,,,,,,,,
VIETNAM,22.9,50.4,47.6,69.6,97.2,167.3,152.5,152,197.7,256.2,245.9,341.6,400.2,387.6,508.3,606.7,,,
INDIA,287,241.4,215.3,212.8,185.1,251.3,261.4,215,198.1,233.2,169.3,184.9,307.6,265.6,265,214.6,,,
BRAZIL,97.3,125.9,81.6,72.5,100.3,125,120.4,123.4,145.3,120.3,146.4,139.7,141.4,102.8,59.8,41.5,,,
COTE D'IVOIRE,0.4,0.3,0.4,0.3,0,0,0.3,0.2,0.6,1.2,2.5,3.4,5,11.9,17.1,18.8,,,
INDONESIA,6.3,5.5,3.2,1.9,2.1,3,7.5,6,9.7,11.5,6.6,6.9,6.7,8.9,14.1,11.8,,,
MOZAMBIQUE,8.2,12.8,1.1,0.8,0.1,0.3,0.4,0.9,1.3,1.9,4,9.1,8.5,11.2,14,11.5,,,
THAILAND,0.1,0.2,0,0,0.1,0.3,1,0.1,0.1,0,2.9,4.9,7.8,8.4,10.4,11,,,
REST OF WORLD,4,3.6,3.6,3.7,4.8,5.3,8,13.1,14.7,16.7,13.4,15.8,14.8,14.1,24.6,26,,,
WORLD,426.1,440,352.8,361.7,389.7,552.6,551.4,510.6,567.4,641.1,590.9,706.3,891.9,810.6,913.4,941.9,,,
Quantity,1000 mt,72.7,82.5,84.8,97.3,103.1,131.6,114.5,115.6,126.7,113.5,118.2,121.3,105.9,109.9,131.9,138.3,,,
Prepared tree nuts 2/,,,,,,,,,,,,,,,,,,,,,
PHILIPPINES,43.4,40.1,28.2,34.3,35.5,33.3,37.8,36.6,49.1,53.6,53.9,49.6,110.2,87.3,60.5,111.7,,,
THAILAND,6.6,6.1,7.3,4.7,7.5,13.6,16.5,15.9,14.4,19.2,27.3,29.8,41.3,44.8,53.9,68.8,,,
CANADA,2.7,2.8,6.4,8.3,7,9,9.3,10.6,11.6,14.2,12.3,13.3,21.7,26.2,34.1,53.3,,,
ISRAEL,0.4,0.7,1.3,1,1.5,2.3,3.4,3.4,6.7,8,7.4,9.4,13.8,18.9,31.4,39,,,
MEXICO,0.1,0.1,1.2,1.3,1.6,1.3,1.9,2.1,3.2,4.7,7.8,12.1,19,17.9,18.4,31.2,,,
TURKEY,1,1.8,2.2,1.4,5,5.5,9.4,9.1,9.9,12.1,8.4,12.2,14.5,13.9,20.4,26.4,,,
VIETNAM,0.4,0.1,0.1,0.9,1.7,4.2,14.5,16.4,24.4,20.8,12.1,10.1,9.7,11.4,17.8,26.1,,,
REST OF WORLD,36.6,35,28.6,25.6,31.1,37.5,45.2,51.3,67.4,72.3,69.6,66.8,76.8,98.1,106.9,113.9,,,
WORLD,91.3,86.7,75.3,77.5,90.9,106.7,138,145.3,186.6,204.9,198.8,203.5,306.9,318.4,343.3,470.4,,,
Quantity,1000 mt,57.5,64.1,63.5,62,62.5,59.9,69.1,70.6,79.4,69.7,74.6,78.9,91.6,96,100.5,124.3,,,
Ground nuts (peanuts),,,,,,,,,,,,,,,,,,,,,
CANADA,23.8,23.4,24,21.7,19.2,19.1,19.9,21.5,23.1,31.2,25.9,20.6,22.8,50,55.4,43.3,,,
